Timestamp,Topico,Mensagem
2026-01-29 16:20:50,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-75,""raw"":10.68,""distance"":12.77,""var"":7.87,""int"":22646}"
2026-01-29 16:20:52,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":10.05,""var"":0.46,""int"":13054}"
2026-01-29 16:20:52,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-66,""raw"":5.91,""distance"":3.68,""var"":1.56,""int"":5082}"
2026-01-29 16:20:52,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-76,""raw"":11.41,""distance"":4.27,""var"":5.83,""int"":5052}"
2026-01-29 16:20:54,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-75,""raw"":10.68,""distance"":9.46,""var"":6.55,""int"":6269}"
2026-01-29 16:20:54,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-76,""raw"":11.41,""distance"":7.60,""var"":7.76,""int"":5361}"
2026-01-29 16:20:58,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-67,""raw"":6.31,""distance"":4.67,""var"":5.86,""int"":5058}"
2026-01-29 16:21:06,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":12.59,""var"":8.44,""int"":22257}"
2026-01-29 16:21:06,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-73,""raw"":9.36,""distance"":9.43,""var"":0.52,""int"":13061}"
2026-01-29 16:21:08,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-77,""raw"":12.18,""distance"":9.98,""var"":5.78,""int"":6390}"
2026-01-29 16:21:08,espresense/devices/apple:findmy/esp32_s3_6,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-81,""raw"":15.85,""distance"":13.21,""var"":12.82,""int"":5194}"
2026-01-29 16:21:08,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-71,""raw"":6.31,""distance"":5.12,""var"":6.48,""int"":5087}"
2026-01-29 16:21:11,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":9.84,""var"":0.52,""int"":13006}"
2026-01-29 16:21:13,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-68,""raw"":6.74,""distance"":5.30,""var"":6.61,""int"":5087}"
2026-01-29 16:21:14,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-76,""raw"":11.41,""distance"":11.11,""var"":4.87,""int"":6384}"
2026-01-29 16:21:18,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-72,""raw"":8.77,""distance"":5.70,""var"":6.81,""int"":5086}"
2026-01-29 16:21:18,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-69,""raw"":7.20,""distance"":6.54,""var"":6.18,""int"":5057}"
2026-01-29 16:21:19,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-72,""raw"":8.77,""distance"":10.79,""var"":3.34,""int"":6363}"
2026-01-29 16:21:23,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-70,""raw"":7.69,""distance"":6.60,""var"":5.15,""int"":5056}"
2026-01-29 16:21:24,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":9.98,""var"":0.52,""int"":13006}"
2026-01-29 16:21:24,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-80,""raw"":14.84,""distance"":12.57,""var"":8.44,""int"":22022}"
2026-01-29 16:21:24,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-78,""raw"":8.77,""distance"":10.75,""var"":3.61,""int"":6343}"
2026-01-29 16:21:28,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-75,""raw"":10.68,""distance"":8.03,""var"":8.12,""int"":5443}"
